,,sfh_0,sfh_1,sfh_2,zh_0,zh_1,zh_2,sigma,logL,logL_birth,nlive
labels,,$sfh_0$,$sfh_1$,$sfh_2$,$zh_0$,$zh_1$,$zh_2$,$\sigma$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,
0,0.0,6.581009,10.128991,10.642543,0.0014350022,0.006650229,0.008907008,2.6064382e-07,-75273520.0,,100
1,0.0,6.4642944,10.528523,6.561424,0.017117951,0.009158101,0.011667815,1.8581503e-07,-64181816.0,,99
2,0.0,6.420489,8.035043,6.5044684,0.018500356,0.0046356274,0.0075401487,3.0766543e-07,-18631236.0,,98
3,0.0,10.493999,7.132342,10.8315935,0.019822497,0.008833002,0.0084570525,5.5787723e-07,-10750072.0,,97
4,0.0,1.1660831,11.495987,6.9693904,0.0072437054,0.0014910332,0.0028560369,5.258745e-07,-9193444.0,,96
5,0.0,8.854662,4.0769567,4.221804,0.0051258006,0.004163119,0.0012784794,6.7844593e-07,-4548117.0,,95
6,0.0,8.158966,6.654175,9.201971,0.012383823,0.018243132,0.001452827,7.944887e-07,-3076047.5,,94
7,0.0,11.040032,3.4358065,2.4165506,0.005519749,0.014249019,0.0040289015,1.4754834e-06,-2294702.2,,93
8,0.0,3.9963915,4.8905597,4.877869,0.004690878,0.00025864644,0.0045622424,9.121105e-07,-1808076.4,,92
9,0.0,0.47289068,4.660197,4.0332627,0.0058752177,0.014396824,0.011156868,1.5923098e-06,-1701762.0,,91
10,0.0,2.2319584,9.309996,11.559207,0.009645934,0.0030250882,0.0006502997,1.947846e-06,-1580582.0,,90
11,0.0,11.445668,0.031211315,7.5305963,0.018354183,0.01285371,0.018881463,1.386686e-06,-1264863.5,,89
12,0.0,3.872245,5.2251687,2.800638,0.0025313688,0.012999384,0.013487926,2.0625387e-06,-1103798.4,,88
13,0.0,4.282104,1.5665629,5.51118,0.019757383,0.0102178,0.017844161,1.9963911e-06,-966043.7,,87
14,0.0,6.2026186,4.884881,8.419772,0.018352102,0.016844979,0.016948348,1.3256381e-06,-948929.3,,86
15,0.0,0.9228349,4.2267647,4.334848,0.0115505615,0.011707658,0.009935533,2.0967293e-06,-882454.0,,85
16,0.0,5.6566777,5.87801,5.002398,0.010227594,0.004638291,0.00078980875,1.4394409e-06,-668141.9,,84
17,0.0,5.411218,1.3184499,1.785646,0.016817873,0.0020551006,0.010738978,3.5773874e-06,-573061.25,,83
18,0.0,1.1918144,2.383344,2.3789213,0.0061069448,0.0127792675,0.008718598,3.530688e-06,-546318.56,,82
19,0.0,7.2408285,1.3511186,6.6505527,0.006952979,0.014145132,0.012818292,2.1637843e-06,-530875.1,,81
20,0.0,10.469851,11.766947,3.1189275,0.0020780244,0.013083816,0.0123485755,2.1937738e-06,-481013.34,,80
21,0.0,10.818428,11.1741085,0.90218717,0.01936526,0.019397834,0.009264217,3.0940596e-06,-403332.25,,79
22,0.0,8.662375,7.9652367,1.171118,0.018865518,0.013017461,0.0025371646,3.2556902e-06,-383868.88,,78
23,0.0,11.263374,7.60314,3.5292912,0.019839458,0.016381368,0.007961252,2.8532916e-06,-332044.84,,77
24,0.0,6.7283335,7.601821,1.4415137,0.010379593,0.00095328083,0.014759485,3.397174e-06,-296787.22,,76
25,0.0,5.7042227,1.9367756,0.5603878,0.014728068,0.0045417133,0.011209415,5.352386e-06,-277443.4,,75
26,0.0,1.1084211,8.208176,2.04589,0.015906204,0.017598143,0.012501997,4.063107e-06,-250836.69,,74
27,0.0,10.92308,6.9064445,3.2819808,0.0087226955,0.010976889,0.0034817362,2.9939729e-06,-250693.19,,73
28,0.0,9.389767,4.543531,1.3415765,0.0084862495,0.013314434,0.0004488569,4.343103e-06,-246676.7,,72
29,0.0,0.3166103,4.9114037,7.9446588,0.015073227,0.007560361,0.014116146,2.2945865e-06,-234642.12,,71
30,0.0,2.4667401,2.0419095,10.648907,0.015039487,0.007376308,0.0030254521,1.870088e-06,-228004.02,,70
31,0.0,3.8551033,8.443966,8.80469,0.005537129,0.012794813,0.013270773,2.5713402e-06,-219229.22,,69
32,0.0,9.932921,4.08835,1.8295133,0.0131457755,0.01576914,0.018666621,5.015698e-06,-189842.52,,68
33,0.0,3.392733,7.820741,1.1651075,0.013786693,0.01835831,0.011374882,5.207339e-06,-159082.97,,67
34,0.0,10.196635,2.1132002,4.47543,0.00079508603,0.009277594,0.010489214,4.023674e-06,-147433.6,,66
35,0.0,3.868267,4.1952133,2.3090193,0.008787789,0.014465331,0.0013782696,5.2651844e-06,-144273.7,,65
36,0.0,10.841555,8.8199835,8.693806,0.00766028,0.0061196256,0.0014014526,4.2776032e-06,-137393.53,,64
37,0.0,0.18241379,2.473114,0.018422177,0.013247509,0.0059517776,0.001056717,7.5575917e-06,-136247.3,,63
38,0.0,11.242783,6.499186,4.56875,0.0011247247,0.00909591,0.017326407,3.5253217e-06,-121841.09,,62
39,0.0,4.748566,8.297088,1.3577428,0.007552242,0.0063170893,0.016802602,5.040982e-06,-118490.836,,61
40,0.0,6.8463707,4.0573206,1.9563347,0.018447552,0.010761436,0.014976271,6.007281e-06,-114161.85,,60
41,0.0,2.0498824,4.3404937,4.946075,0.012549079,0.01225547,0.014861738,4.7207523e-06,-98173.71,,59
42,0.0,5.3669577,8.844916,5.2749333,0.007531133,0.014328119,0.013254358,3.8337207e-06,-87460.98,,58
43,0.0,3.7788389,3.7825565,2.6906738,0.015147485,0.0031744742,0.0053842617,5.7188104e-06,-86696.91,,57
44,0.0,7.69318,1.3996375,0.61758345,0.018740669,0.0040521105,0.008673756,8.2336355e-06,-80287.15,,56
45,0.0,6.187901,11.418103,4.5855875,0.0016867968,0.008565054,0.017515237,3.8984e-06,-77960.945,,55
46,0.0,5.962224,2.5707169,5.6018453,0.011232748,0.0061790026,0.00038966286,3.853413e-06,-74588.55,,54
47,0.0,2.766197,4.018208,0.87147665,0.014142697,0.012523941,0.012581896,8.064795e-06,-69420.3,,53
48,0.0,3.6184118,10.401453,11.246825,0.0026064613,0.019862637,0.007931614,5.1696175e-06,-68352.37,,52
49,0.0,8.300037,2.262217,3.2124507,0.01640882,0.01916661,0.0035125008,6.884903e-06,-55371.668,,51
50,0.0,11.44169,10.559778,6.6494627,0.008986622,0.002745799,0.007680471,5.1296174e-06,-50916.85,-55371.668,100
51,0.0,5.9406214,0.06823616,6.7681026,0.008780933,0.012237781,0.005675781,5.006841e-06,-50137.387,-55371.668,99
52,0.0,8.761975,11.767934,4.473722,0.0014525132,0.009541878,0.009315316,4.5166203e-06,-46499.25,,98
53,0.0,1.0118353,11.226654,9.086745,0.0127565,0.0005875859,0.002314458,6.3262933e-06,-39354.527,,97
54,0.0,3.0262823,9.066843,3.6113043,0.0032114557,0.0011881614,0.01870666,4.684727e-06,-38183.215,,96
55,0.0,4.564669,5.092424,2.3442028,0.003117166,0.016983872,0.017910795,7.5859098e-06,-37538.883,,95
56,0.0,8.896169,8.923513,9.259702,0.010602663,0.015019058,0.0050680907,5.2268133e-06,-36850.266,,94
57,0.0,9.539998,0.14432673,6.0525017,0.009418259,0.004581261,0.010352728,5.3640815e-06,-34586.332,,93
58,0.0,4.886107,11.976537,0.62216926,0.014610132,0.007229503,0.0053250673,6.0954562e-06,-31887.566,,92
59,0.0,6.8503957,5.269727,3.8190038,0.008718794,0.010619476,0.011761927,6.2425784e-06,-26001.123,-55371.668,91
60,0.0,10.208482,1.3146751,10.458593,0.01720643,0.00020716501,0.0043313284,3.7607813e-06,-19770.236,,90
61,0.0,9.420746,1.5824585,7.9151077,0.0070398846,0.013359515,0.00471944,4.3923997e-06,-19226.375,-55371.668,89
62,0.0,11.230363,4.091004,2.672994,0.010139283,0.008302008,0.013777726,7.437941e-06,-18399.436,-55371.668,88
63,0.0,10.789182,8.336137,1.9660968,0.003563196,0.016703505,0.019970594,7.172557e-06,-17149.123,-55371.668,87
64,0.0,8.219475,7.450311,0.41877848,0.013060357,0.018653678,0.009805636,9.0211e-06,-16408.65,-55371.668,86
65,0.0,11.120871,0.6958788,5.9290547,0.0013982467,0.01242836,0.004278501,5.765281e-06,-16092.067,,85
66,0.0,6.1225853,8.439709,0.99701786,0.008230217,0.0103444755,0.014172988,7.94494e-06,-15994.186,,84
67,0.0,9.802588,2.3100202,2.3222473,0.0120073315,0.0022104352,0.015241498,8.606726e-06,-14847.413,-55371.668,83
68,0.0,11.735318,9.732253,7.8620896,0.0036641792,0.007544337,0.0009297459,6.8731e-06,-14297.244,,82
69,0.0,8.9087,8.441859,11.485609,0.0058661425,0.014321001,0.0063475356,7.320385e-06,-13554.391,,81
70,0.0,10.379823,6.037111,4.749097,0.002050468,0.0060074683,0.014194394,5.1804504e-06,-13062.146,,80
71,0.0,11.613312,3.2867439,4.379431,0.014489142,0.0027873537,0.00035332123,5.08625e-06,-11959.216,,79
72,0.0,4.51135,11.015399,11.088853,0.006088449,0.012346927,0.0024065785,8.494372e-06,-11330.536,,78
73,0.0,11.328658,9.0258465,0.52688944,0.010574795,0.014245728,0.010942252,8.134954e-06,-11230.135,,77
74,0.0,3.1053975,11.913257,9.645519,0.007828692,0.008714547,0.011865168,7.0923134e-06,-9777.374,,76
75,0.0,3.2303684,2.7195475,10.65379,0.002430115,0.013639677,0.003664356,3.939721e-06,-8813.692,-55371.668,75
76,0.0,0.49513656,5.5194955,3.4472263,0.0053164368,0.009197837,0.019391311,8.043038e-06,-8287.626,-55371.668,74
77,0.0,10.423772,3.290692,1.8856719,0.0030588564,0.01755186,0.004924809,9.4445495e-06,-5197.5376,-55371.668,73
78,0.0,8.497296,8.84724,11.865475,0.012754823,0.009897066,0.007920349,8.537396e-06,-4684.831,-55371.668,72
79,0.0,11.253687,9.704166,6.2236753,0.019319043,0.0033225,0.0026597548,5.7659545e-06,-4475.4966,-55371.668,71
80,0.0,6.050153,11.299861,4.4183335,0.017647274,0.016986005,0.013021848,6.151124e-06,-4122.4517,-55371.668,70
81,0.0,11.0662155,6.1467824,4.939013,0.0076728794,0.015092634,0.0038290257,5.806382e-06,-3875.9995,-55371.668,69
82,0.0,9.851862,10.439826,7.328363,0.011289995,0.012428786,0.016718479,5.993892e-06,-3696.0388,-55371.668,68
83,0.0,0.3372652,8.382775,0.23725502,0.004507976,0.0023484929,0.012897017,9.451107e-06,-2163.1753,,67
84,0.0,2.4473608,1.4261382,11.072339,0.0134856235,0.00057734956,0.0023177653,3.1651741e-06,-1685.9241,-55371.668,66
85,0.0,6.630958,6.1765065,7.095232,0.013068195,0.00082631217,0.00736797,4.6497244e-06,1023.9104,,65
86,0.0,0.30647987,0.5312842,5.7776694,0.011539089,0.006377266,0.019912045,8.7065255e-06,1858.4396,-55371.668,64
87,0.0,0.55643797,10.02538,6.7702785,0.012653536,0.0029738531,0.011850851,5.2421397e-06,2046.6858,-55371.668,63
88,0.0,8.455622,9.377825,4.698421,0.0035439932,0.01658942,0.016047154,6.2913914e-06,2075.3076,-55371.668,62
89,0.0,10.890981,4.226189,3.6140044,0.011447617,0.008459192,0.0047694594,7.32774e-06,2428.5789,-55371.668,61
90,0.0,4.7065854,6.982595,5.111054,0.0038242866,0.016941031,0.013402824,6.551774e-06,3054.1934,-55371.668,60
